分群,困難,分子_達3以上,分母_作答人數,群人數,達3以上比例,全體曾參與者比例,lift,lift留空原因,分子_達4以上,達4以上比例,平均分_次要,該群平均角色廣度,信賴度,決策可用性,達3定義,讀法說明,平均分警語
使用者,抓不準專案到底要解決什麼問題,5,39,39,0.1282,0.1277,1.0,,2,0.0513,1.62,3.49,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
使用者,找不到願意一起做的夥伴,8,39,39,0.2051,0.234,0.88,,3,0.0769,2.0,3.49,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
使用者,新手或不會寫程式的人，不知道能幫什麼,5,39,39,0.1282,0.1064,1.21,,2,0.0513,1.64,3.49,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
使用者,參與者突然消失，留下大量未完成任務,5,39,39,0.1282,0.1489,0.86,,0,0.0,1.56,3.49,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
使用者,專案缺少文件或交接，人一走、知識就斷了,4,39,39,0.1026,0.1277,,分子<5，lift 為雜訊,1,0.0256,1.56,3.49,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
使用者,核心成員累垮，常常一個人撐住整個專案,11,39,39,0.2821,0.3191,0.88,,4,0.1026,2.1,3.49,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
使用者,專案難有穩定進度，容易停滯,16,39,39,0.4103,0.383,1.07,,6,0.1538,2.33,3.49,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
使用者,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,3,39,39,0.0769,0.0638,,分子<5，lift 為雜訊,0,0.0,1.33,3.49,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
使用者,專案要改變方向、或要對外代表時，不確定誰有權責拍板,7,39,39,0.1795,0.1702,1.05,,0,0.0,1.56,3.49,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
使用者,找不到對接的政府窗口、發訊息沒人理,7,39,39,0.1795,0.1489,1.21,,2,0.0513,1.62,3.49,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
