分群,選項,分子,分母_作答人數,群人數,群內比例,全體比例,lift,lift留空原因,該群平均角色廣度,信賴度,決策可用性,讀法說明
使用者,我很認同這件事想達成的目標,31,39,39,0.7949,0.8298,0.96,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,我認同這個社群，想成為其中一員,17,39,39,0.4359,0.4255,1.02,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,純粹覺得好玩、有趣,14,39,39,0.359,0.3404,1.05,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,想認識新朋友、找到同好,11,39,39,0.2821,0.2766,1.02,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,身邊有人在做，我就跟著加入,10,39,39,0.2564,0.2553,1.0,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,累積作品集，練功或建立好名聲,5,39,39,0.1282,0.1277,1.0,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,其他（自由填答）,1,39,39,0.0256,0.0213,,分子<5，lift 為雜訊,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,我很認同這件事想達成的目標,30,36,36,0.8333,0.8298,1.0,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,我認同這個社群，想成為其中一員,15,36,36,0.4167,0.4255,0.98,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,純粹覺得好玩、有趣,13,36,36,0.3611,0.3404,1.06,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,想認識新朋友、找到同好,10,36,36,0.2778,0.2766,1.0,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,身邊有人在做，我就跟著加入,10,36,36,0.2778,0.2553,1.09,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
