分群,選項,分子,分母_作答人數,群人數,群內比例,全體比例,lift,lift留空原因,該群平均角色廣度,信賴度,決策可用性,讀法說明
使用者,人脈（例如：由社群介紹可諮詢的專家）,26,39,39,0.6667,0.6596,1.01,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,經費（例如：獎助金、標案或機構支持費用）,18,39,39,0.4615,0.4681,0.99,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,公開資料或開放資料（例如：政治獻金資料集）,16,39,39,0.4103,0.4468,0.92,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,場地（例如：NPO Hub）,16,39,39,0.4103,0.4043,1.01,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,現成的數位工具或平台（例如：Pol.is）,14,39,39,0.359,0.3617,0.99,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,政府窗口（例如：協助將專案成果結合到體制內）,14,39,39,0.359,0.3404,1.05,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,主要靠我自己想辦法,8,39,39,0.2051,0.234,0.88,,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
使用者,其他（自由填答）,1,39,39,0.0256,0.0213,,分子<5，lift 為雜訊,3.49,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,人脈（例如：由社群介紹可諮詢的專家）,25,36,36,0.6944,0.6596,1.05,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,經費（例如：獎助金、標案或機構支持費用）,18,36,36,0.5,0.4681,1.07,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
