欄位,宣告題型,自動判定,信心,分層歸屬,作答數,作答率
時間戳記,時間戳記,開放題,低（請確認）,全體,127,100%
你最近一次接觸公民科技專案，大概是什麼時候？,單選（分層依據）,單選,高,全體,127,100%
你曾經在公民科技專案裡，擔任過哪些角色？,複選（角色，建階梯與廣度）,複選,高,曾接觸,101,80%
下面哪一句，最貼近你在公民科技圈子做的事？,單選序位（參與深度 1–5＋逃生選項）,單選,高,曾接觸,101,80%
你曾經參與過公民科技專案嗎？,單選（分層依據）,單選,高,曾接觸,101,80%
你最近參與的那個公民科技專案，是為了解決什麼問題？,開放題,開放題,高,曾參與,47,37%
這個專案目前進行到哪個階段？,單選序位（專案階段）,單選,高,曾參與,47,37%
在這個專案裡，你主要的專長、或協助的任務是？,複選（專長）,複選,高,曾參與,47,37%
這個專案從開始到現在，曾使用過哪些資源？,複選（資源）,複選,高,曾參與,47,37%
過去 30 天，你大約花了多少時間在這個專案？,單選序位（投入強度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [抓不準專案到底要解決什麼問題],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [找不到願意一起做的夥伴],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [新手或不會寫程式的人，不知道能幫什麼],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [參與者突然消失，留下大量未完成任務],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [專案缺少文件或交接，人一走、知識就斷了],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [核心成員累垮，常常一個人撐住整個專案],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [專案難有穩定進度，容易停滯],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [專案要改變方向、或要對外代表時，不確定誰有權責拍板],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [找不到對接的政府窗口、發訊息沒人理],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [公務員不信任你、不願給你需要的資訊],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [想要的資料拿不到、不知道去哪要],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
下面這些困難，各自對你造成多大的困擾？ [做出來的成果（工具、服務）很難真正發揮影響力],量表 1–5（困擾程度）,單選,高,曾參與,47,37%
面對這些困難，你有採取什麼行動去解決嗎？,開放題,開放題,高,曾參與,28,22%
你第一次投入公民科技專案時的契機是？,複選（初次動機，最多 2）,複選,高,曾參與,47,37%
那現在讓你留下來繼續做的，又是什麼？,複選（持續動機，最多 2）,複選,高,曾參與,47,37%
你現在手上同時在進行幾個公民科技專案？,單選（同時進行專案數）,單選,高,曾參與,47,37%
你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,複選（未參與原因，最多 3）,複選,高,從未接觸,26,20%
如果有下面這些文章可以參考，你的感覺是？ [如何發起一個公民科技專案],狩野功能型（五點）,單選,高,全體,126,99%
如果有下面這些文章可以參考，你的感覺是？ [沒有現成資料時，怎麼搜尋、整理或自建資料集],狩野功能型（五點）,單選,高,全體,126,99%
如果有下面這些文章可以參考，你的感覺是？ [怎麼捲動更多人（包含不會寫程式的人）一起參與],狩野功能型（五點）,單選,高,全體,126,99%
如果有下面這些文章可以參考，你的感覺是？ [怎麼留住夥伴、維持團隊運作的能量],狩野功能型（五點）,單選,高,全體,126,99%
如果有下面這些文章可以參考，你的感覺是？ [怎麼讓做好的東西真正落地、接進體制],狩野功能型（五點）,單選,高,全體,126,99%
如果沒有下面這些文章可以參考，你的感覺是？ [如何發起一個公民科技專案],狩野反功能型（五點）,單選,高,全體,127,100%
如果沒有下面這些文章可以參考，你的感覺是？ [沒有現成資料時，怎麼搜尋、整理或自建資料集],狩野反功能型（五點）,單選,高,全體,127,100%
如果沒有下面這些文章可以參考，你的感覺是？ [怎麼捲動更多人（包含不會寫程式的人）一起參與],狩野反功能型（五點）,單選,高,全體,127,100%
如果沒有下面這些文章可以參考，你的感覺是？ [怎麼留住夥伴、維持團隊運作的能量],狩野反功能型（五點）,單選,高,全體,127,100%
如果沒有下面這些文章可以參考，你的感覺是？ [怎麼讓做好的東西真正落地、接進體制],狩野反功能型（五點）,單選,高,全體,127,100%
我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,複選（議題領域，最多 5）,複選,高,全體,127,100%
下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,複選（跨領域工具，最多 3）,複選,高,全體,126,99%
如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,複選（活動意願，最多 2）,複選,高,全體,127,100%
你曾經為公民科技專案提供經費方面的支持嗎？,單選（出資者篩選）,單選,高,全體,127,100%
你最近一次出錢，或是調度經費支持的專案，該專案是在做什麼？,開放題,開放題,高,出資者,12,9%
你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,複選（出資評估準則，最多 3）,複選,高,出資者,27,21%
以你的觀察，最難找到資源的，是處在哪個階段的專案？,複選（資源沙漠階段；實際皆單選）,單選,高,出資者,27,21%
你最近一次參加 g0v.tw 的活動，是什麼時候？,單選（g0v 活動近因）,單選,高,全體,127,100%
承上，你參加過哪些 g0v 活動？,複選（g0v 活動類型）,複選,高,全體,126,99%
你現在主要透過哪些管道，得知 g0v 的活動消息？,複選（g0v 消息管道）,複選,高,全體,127,100%
整體來說，你主要透過哪些管道吸收公民科技的資訊？,複選（公民科技資訊管道）,複選,高,全體,127,100%
你的年齡？,單選（年齡層）,單選,高,全體,127,100%
你目前主要的身分或工作場域是？,單選（身分／工作場域）,單選,高,全體,127,100%
可以多分享一點你所屬的組織或團體嗎？,開放題（組織）,開放題,高,全體,55,43%
你的性別？,單選（性別）,單選,高,全體,127,100%
你目前居住在哪個區域？,複選（居住地；126/127 只勾一項）,複選,高,全體,127,100%
除了居住地，你還跟哪些地區有比較深的連結？,開放題（需人工編碼為地區）,開放題,高,全體,63,50%
想持續收到社群活動消息嗎？勾選你想加入的管道，我們將把相關資訊寄送給你,複選（訂閱意願）,複選,高,全體,88,69%
